IDAuto,IDSort,Basic,IDMarketer,Date,Price,Text1,Text2,Text3,No1,No2,No3,Date1,Date2
718,7387,1,837,,0.0000000000000000e+00,,,,,,,,
719,7015,0,849,,0.0000000000000000e+00,,,,,,,,
721,7135,0,853,,0.0000000000000000e+00,,,,,,,,
722,6804,0,839,"03/07/06 00:00:00",4.0300000000000002e-01,,,,,,,,
723,6805,0,916,"06/20/06 00:00:00",4.1299999999999998e-01,,,,,,,,
724,6811,0,839,"01/09/07 00:00:00",2.9799999999999999e-01,,,,,,,,
725,6821,1,878,,1.4500000000000000e+00,,,,,,,,
726,6824,0,878,,0.0000000000000000e+00,,,,,,,,
727,6825,1,878,,0.0000000000000000e+00,,,,,,,,
728,6827,0,878,,0.0000000000000000e+00,,,,,,,,
729,6845,0,929,"01/14/08 00:00:00",1.5000000000000000e+00,,,,,,,,
731,6851,0,923,"12/15/09 00:00:00",4.4800000000000004e+00,,,,,,,,
732,6852,0,878,,0.0000000000000000e+00,,,,,,,,
733,6853,0,878,"11/04/08 00:00:00",3.1499999999999999e+00,,,,,,,,
734,6865,1,870,"11/17/08 00:00:00",8.6669999999999998e+00,,,,,,,,
735,6881,0,841,,0.0000000000000000e+00,,,,,,,,
736,6883,1,850,,0.0000000000000000e+00,,,,,,,,
738,6912,1,863,"01/10/13 00:00:00",1.1500000000000000e+01,,,,,,,,
739,6915,0,847,"11/23/07 00:00:00",2.3300000000000001e+00,,,,,,,,
740,6918,0,847,,2.2999999999999998e+00,,,,,,,,
741,6924,0,917,,6.6500000000000004e+00,,,,,,,,
743,6943,0,839,"06/20/06 00:00:00",5.7999999999999996e-01,,,,,,,,
744,6977,0,865,,5.5000000000000000e+00,,,,,,,,
745,6976,0,865,,5.5000000000000000e+00,,,,,,,,
746,6975,0,865,,5.5000000000000000e+00,,,,,,,,
747,6974,0,865,,5.5000000000000000e+00,,,,,,,,
748,6973,1,865,,5.5000000000000000e+00,,,,,,,,
749,6972,0,865,,5.5000000000000000e+00,,,,,,,,
750,6971,0,865,,4.5000000000000000e+00,,,,,,,,
751,6970,0,865,,4.5000000000000000e+00,,,,,,,,
752,6847,0,868,"06/20/06 00:00:00",8.0000000000000004e-01,,,,,,,,
753,7388,0,,,1.0000000000000000e+00,,,,,,,,
754,7219,0,878,"08/04/06 00:00:00",2.2000000000000002e+00,,,,,,,,
755,6951,0,847,"08/04/06 00:00:00",1.7969999999999999e+00,,,,,,,,
756,6958,0,847,"08/04/06 00:00:00",2.6549999999999998e+00,,,,,,,,
757,6878,0,847,"08/04/06 00:00:00",2.7789999999999999e+00,,,,,,,,
758,6903,0,918,"08/11/06 00:00:00",6.5000000000000000e+00,,,,,,,,
759,6905,0,917,"08/11/06 00:00:00",5.5999999999999996e+00,,,,,,,,
760,6902,0,918,"08/11/06 00:00:00",5.5000000000000000e+00,,,,,,,,
761,7389,1,919,"08/11/06 00:00:00",2.2000000000000002e+00,,,,,,,,
762,7390,1,843,"08/10/06 00:00:00",9.9800000000000004e+00,,,,,,,,
763,7214,1,843,"08/10/05 00:00:00",1.8359999999999999e+01,,,,,,,,
764,7391,1,843,"08/01/06 00:00:00",1.8829999999999998e+01,,,,,,,,
765,7160,1,,,1.0000000000000000e+00,,,,,,,,
766,7075,0,,,1.3000000000000000e+00,,,,,,,,
767,7283,1,900,,0.0000000000000000e+00,,,,,,,,
768,7045,0,898,,,,,,,,,,
770,7310,0,866,,4.0000000000000002e-01,,,,,,,,
771,6797,0,839,"07/31/06 00:00:00",3.1300000000000000e-01,,,,,,,,
772,6800,0,836,"08/09/06 00:00:00",4.0000000000000002e-01,,,,,,,,
773,6801,0,898,"08/24/06 00:00:00",3.6299999999999999e-01,,,,,,,,
774,7205,0,839,"07/25/06 00:00:00",5.3000000000000003e-01,,,,,,,,
775,6802,0,839,"01/24/06 00:00:00",4.4300000000000000e-01,,,,,,,,
776,6803,0,836,"01/01/06 00:00:00",5.5800000000000005e-01,,,,,,,,
777,6805,0,839,"07/31/06 00:00:00",2.3799999999999999e-01,,,,,,,,
778,6805,0,849,"02/09/06 00:00:00",2.8999999999999998e-01,,,,,,,,
779,6806,0,839,"05/25/06 00:00:00",2.4800000000000000e-01,,,,,,,,
780,6834,0,893,"09/01/06 00:00:00",4.4000000000000004e+00,,,,,,,,
781,6802,0,898,"09/27/06 00:00:00",6.8000000000000005e-01,,,,,,,,
782,6920,0,855,"09/21/06 00:00:00",4.4000000000000004e+00,,,,,,,,
783,7277,0,898,"01/19/06 00:00:00",2.4199999999999999e+00,,,,,,,,
785,6835,0,917,"10/12/06 00:00:00",3.4600000000000000e+00,,,,,,,,
786,7224,0,917,"10/12/06 00:00:00",4.7300000000000004e+00,,,,,,,,
787,6911,0,917,"10/12/06 00:00:00",1.2650000000000000e+01,,,,,,,,
788,6919,0,917,"10/12/06 00:00:00",3.8900000000000001e+00,,,,,,,,
789,7045,1,,,1.2500000000000000e+00,,,,,,,,
790,6919,1,842,"10/11/06 00:00:00",3.7999999999999998e+00,,,,,,,,
791,6913,0,842,"10/11/06 00:00:00",9.3000000000000005e-01,,,,,,,,
792,6798,0,839,"10/17/06 00:00:00",3.5999999999999999e-01,,,,,,,,
793,6802,0,839,"10/17/06 00:00:00",4.6000000000000002e-01,,,,,,,,
794,6813,0,839,"10/17/06 00:00:00",4.6999999999999997e-01,,,,,,,,
795,6815,0,839,"10/17/06 00:00:00",5.5500000000000005e-01,,,,,,,,
796,7272,0,839,"10/17/06 00:00:00",5.5000000000000004e-01,,,,,,,,
798,6920,0,855,"10/20/06 00:00:00",4.2000000000000002e+00,,,,,,,,
799,7233,0,853,"10/23/06 00:00:00",4.5200000000000001e-01,,,,,,,,
800,6870,0,895,"10/25/06 00:00:00",1.7000000000000000e+00,,,,,,,,
