IDA_FASHMaterials,IDA_FASH,IDSort,Sxolia,IDA_FASHQuantity,IDA_FASHLoose,IDA_FASHRecipe,IDA_FASHDelete
1134,6846,6846,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1135,6847,6847,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1136,6848,6848,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1137,6849,6849,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1138,6850,6850,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1139,6851,6851,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1140,6852,6852,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1141,6853,6853,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1142,6854,6854,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1143,6855,6855,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1144,6856,6856,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1145,6857,6857,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1146,6858,6858,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1147,6859,6859,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1148,6860,6860,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1149,6861,6861,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1150,6862,6862,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1151,6863,6863,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1152,6864,6864,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1153,6865,6865,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1154,6866,6866,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1155,6867,6867,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1156,6868,6868,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1157,6869,6869,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1158,6870,6870,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1159,6871,6871,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1160,6872,6872,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1161,6873,6873,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
