IDProdDate,Date,Print,PrDateSxolia
1269,"11/19/08 00:00:00",0,
1270,"11/20/08 00:00:00",0,
1271,"11/21/08 00:00:00",0,
1272,"11/22/08 00:00:00",0,
1273,"11/24/08 00:00:00",0,
1274,"11/25/08 00:00:00",0,
1275,"11/26/08 00:00:00",0,
1276,"11/27/08 00:00:00",0,
1277,"11/28/08 00:00:00",0,
1278,"11/29/08 00:00:00",0,
1279,"12/01/08 00:00:00",0,
1280,"12/02/08 00:00:00",0,
1281,"12/03/08 00:00:00",0,
1282,"12/04/08 00:00:00",0,
1283,"12/05/08 00:00:00",0,
1284,"12/06/08 00:00:00",0,
1285,"12/08/08 00:00:00",0,
1286,"12/09/08 00:00:00",0,
1287,"12/10/08 00:00:00",0,
1288,"12/11/08 00:00:00",0,
1289,"12/12/08 00:00:00",0,
1290,"12/13/08 00:00:00",0,
1291,"12/15/08 00:00:00",0,
1292,"12/16/08 00:00:00",0,
1293,"12/17/08 00:00:00",0,
1294,"12/18/08 00:00:00",0,
1295,"12/19/08 00:00:00",0,
1296,"12/20/08 00:00:00",0,
1297,"12/22/08 00:00:00",0,
1298,"12/23/08 00:00:00",0,
1299,"12/24/08 00:00:00",0,
1300,"12/27/08 00:00:00",0,
1301,"12/29/08 00:00:00",0,
1302,"12/30/08 00:00:00",0,
1303,"12/31/08 00:00:00",0,
1304,"01/03/09 00:00:00",0,
1305,"01/05/09 00:00:00",0,
1306,"01/07/09 00:00:00",0,
1307,"01/08/09 00:00:00",0,
1308,"01/09/09 00:00:00",0,
1309,"01/10/09 00:00:00",0,
1310,"01/12/09 00:00:00",0,
1311,"01/13/09 00:00:00",0,
1312,"01/14/09 00:00:00",0,
1313,"01/15/09 00:00:00",0,
1314,"01/16/09 00:00:00",0,
1315,"01/17/09 00:00:00",0,
1316,"01/19/09 00:00:00",0,
1317,"01/20/09 00:00:00",0,
1318,"01/21/09 00:00:00",0,
1319,"01/22/09 00:00:00",0,
1320,"01/23/09 00:00:00",0,
1321,"01/24/09 00:00:00",0,
1322,"01/26/09 00:00:00",0,
1323,"01/27/09 00:00:00",0,
1324,"01/28/09 00:00:00",0,
1325,"01/29/09 00:00:00",0,
1326,"01/30/09 00:00:00",0,
1327,"01/31/09 00:00:00",0,
1328,"02/02/09 00:00:00",0,
1329,"02/03/09 00:00:00",0,
1330,"02/04/09 00:00:00",0,
1331,"02/05/09 00:00:00",0,
1332,"02/06/09 00:00:00",0,
1333,"02/07/09 00:00:00",0,
1334,"02/09/09 00:00:00",0,
1335,"02/10/09 00:00:00",0,
1336,"02/11/09 00:00:00",0,
1337,"02/12/09 00:00:00",0,
1338,"02/13/09 00:00:00",0,
1339,"02/14/09 00:00:00",0,
