IDC_FASH,IDSort,IDC_FASHSxolia,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7064,6814,,3.5000000000000000e+00,0.0000000000000000e+00,0,0
7064,6816,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
7064,6863,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
7064,6868,,5.9999999999999998e-02,0.0000000000000000e+00,0,0
7064,6871,,1.2500000000000000e+00,0.0000000000000000e+00,0,0
7064,6877,,8.0000000000000004e-01,0.0000000000000000e+00,0,0
7064,6921,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
7065,6750,"50",5.0000000000000000e-01,0.0000000000000000e+00,0,0
7065,6816,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
7065,6822,,8.9999999999999997e-02,0.0000000000000000e+00,0,0
7065,6838,"ΧΥΜΟΣ",1.0000000000000000e-04,0.0000000000000000e+00,0,0
7065,6839,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
7065,6862,,8.0000000000000002e-03,0.0000000000000000e+00,0,0
7065,6863,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
7065,6865,,1.2000000000000000e-02,0.0000000000000000e+00,0,0
7065,6871,,1.0000000000000000e-04,0.0000000000000000e+00,0,0
7065,6874,,8.0000000000000002e-03,0.0000000000000000e+00,0,0
7065,6890,,4.0000000000000001e-02,0.0000000000000000e+00,0,0
7065,6892,,1.0000000000000001e-05,0.0000000000000000e+00,0,0
7065,6921,,3.9000000000000001e-01,0.0000000000000000e+00,0,0
7065,7842,,9.0000000000000002e-01,0.0000000000000000e+00,0,0
7066,6750,"53",5.3000000000000000e+01,0.0000000000000000e+00,0,0
7066,6805,"13",2.0000000000000000e+01,0.0000000000000000e+00,0,0
7066,6806,"72",6.5000000000000000e+01,0.0000000000000000e+00,0,0
7066,6808,"15",1.5000000000000000e+01,0.0000000000000000e+00,0,0
7066,6814,"0,6",1.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,6816,"7,5",1.2500000000000000e+01,0.0000000000000000e+00,0,0
7066,6863,"1,75",2.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,6867,"0,001",1.0000000000000000e-03,0.0000000000000000e+00,0,0
7066,6871,"2,5",2.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,6878,"2",2.5000000000000000e+00,0.0000000000000000e+00,0,0
7066,6921,"1",3.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,7195,"1",1.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,7887,"0,3",2.9999999999999999e-01,0.0000000000000000e+00,0,0
7067,6750,"ΠΑΓΑΚΙΑ ανάλογα",9.2899999999999991e+00,0.0000000000000000e+00,0,0
7067,6803,,1.0000000000000000e+02,0.0000000000000000e+00,0,0
7067,6816,,3.5000000000000000e+01,0.0000000000000000e+00,0,0
7067,6821,,2.1099999999999999e+00,0.0000000000000000e+00,0,0
7067,6828,,1.7500000000000000e+00,0.0000000000000000e+00,0,0
7067,6838,,1.2000000000000000e+01,0.0000000000000000e+00,0,0
7067,6863,,7.5000000000000000e-01,0.0000000000000000e+00,0,0
7067,6873,,2.5000000000000000e-01,0.0000000000000000e+00,0,0
7067,6880,,1.7500000000000000e+00,0.0000000000000000e+00,0,0
7067,6889,,2.6000000000000001e-01,0.0000000000000000e+00,0,0
7067,6891,,2.3999999999999999e-01,0.0000000000000000e+00,0,0
7067,6893,,7.0999999999999996e-01,0.0000000000000000e+00,0,0
7067,6894,,1.7999999999999999e-01,0.0000000000000000e+00,0,0
7067,6899,,1.3930000000000000e+01,0.0000000000000000e+00,0,0
7067,6913,,7.3600000000000003e+00,0.0000000000000000e+00,0,0
