IDB_FASH,IDSort,IDB_FASHQuantity,IDB_FASHLoose,IDB_FASHRecipe,IDB_FASHDelete
6915,6915,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6916,6916,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6917,6917,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6918,6918,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6919,6919,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6920,6920,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6921,6921,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6922,6922,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6923,6923,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6924,6924,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6925,6925,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6926,6926,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6928,6928,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6929,6929,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6930,6930,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6931,6931,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6932,6932,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6933,6933,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6934,6934,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6935,6935,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6936,6936,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6937,6937,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6938,6938,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6939,6939,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6940,6940,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6941,6941,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6943,6943,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6944,6944,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6945,6945,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6946,6946,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6947,6947,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6948,6948,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6949,6949,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6950,6950,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6951,6951,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6952,6952,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6953,6953,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6954,6954,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6955,6955,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6956,6956,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6957,6957,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6958,6958,1.0000000000000000e+00,0.0000000000000000e+00,0,0
6959,6959,1.0000000000000000e+00,0.0000000000000000e+00,0,0
