IDSort,IDSortStorage,SortDescr,IDRaw,IDCategory,IDSortSubCategory,IDMUnit,PieceWeithg,IDOperation,SortYield,SortActivate,Price,IDSortRecipe,IDSortDelete,IDSortLoked,Icon,Text1,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
6809,"200855","STARTER ΣΙΚΑΛΗΣ",,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6810,"200124","ΑΛΕΥΡΙ T.HOVIS",4,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6140,1,0,0,,,,,,,,,,,0,0
6811,"200125","ΑΛΕΥΡΙ T. Μ ΨΙΛΟ",14,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.4410,1,0,0,,,,,,,,,,,0,0
6812,"200126","ΑΛΕΥΡΙ  ΠΕΤΡ/ΛΟΥ ΟΛΙΚΗΣ ΣΚΛΗΡΟ",14,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.5030,1,0,0,,,,,,,,,,,0,0
6813,"200127","ΑΛΕΥΡΙ ΤΣΟΥΡΕΚΙΟΥ",11,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0,0.7860,1,0,0,,,,,,,,,,,0,0
6814,"200854","VOLLSAUER",20,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.3200,1,0,0,,,,,,,,,,,0,0
6815,"200129","ΑΛΕΥΡΙ ΤΟΣΤ-ΦΡΥΓΑΝΙΑΣ",4,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6690,1,0,0,,,,,,,,,,,0,0
6816,"200201","ΖΑΧΑΡΗ",25,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.7650,1,0,0,,,,,,,,,,,0,0
6817,"200202","ΖΑΧΑΡΗ ΑΧΝΗ",26,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.1000,1,0,0,,,,,,,,,,,0,0
6818,"200204","ΖΑΧΑΡΗ ΜΑΥΡΗ",837,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.8600,1,0,0,,,,,,,,,,,0,0
6819,"200207","ΑΜΥΛΟΣΙΡΟΠΙΟ(γλυκοζη)",31,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.8640,1,0,0,,,,,,,,,,,0,0
6820,"200208","ΜΕΛΙ",32,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.2500,1,0,0,,,,,,,,,,,0,0
6821,"200209","ΣΟΡΒΙΤΟΛΗ",33,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.4500,1,0,0,,,,,,,,,,,0,0
6822,"200210","ΣΤΑΦΙΔΙΝΗ",34,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.6800,1,0,0,,,,,,,,,,,0,0
6823,"200211","ΦΟΝΤΑΝ(γλασσο)",35,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.9470,1,0,0,,,,,,,,,,,0,0
6824,"200212","ΦΡΟΥΚΤΟΖΗ",36,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6825,"200213","ΔΕΞΤΡΟΖΗ",37,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6826,"200222","ΙΜΒΕΡΤΟΖΑΧΑΡΟ",1033,"Α_ΥΛΗ","2002",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.1100,1,0,0,,,,,,,,,,,0,0
6827,"200302","ΓΑΛΑ ΣΚΟΝΗ 1%",903,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.9000,1,0,0,,,,,,,,,,,0,0
6828,"200303","ΓΑΛΑ ΣΚΟΝΗ 26% LEO",904,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.6000,1,0,0,,,,,,,,,,,0,0
6829,"200305","ΤΕΛΕΜΕΣ",725,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.2000,1,0,0,,,,,,,,,,,0,0
6830,"200309","GOUDA BLOCK",724,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.2500,1,0,0,,,,,,,,,,,0,0
6831,"200310","ΚΑΣΕΡΙ",55,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.7000,1,0,0,,,,,,,,,,,0,0
6832,"200311","ΚΕΦΑΛΟΤΥΡΙ",56,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,6.4500,1,0,0,,,,,,,,,,,0,0
6833,"200312","ΜΥΖΗΘΡΑ (ΓΚΥΖΑ)",57,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.4000,1,0,0,,,,,,,,,,,0,0
6834,"200315","ΦΕΤΑ",725,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,5.2000,1,0,0,,,,,,,,,,,0,0
6835,"200320","ΕΝΤΑΜ ΦΡΑΝΤΖΟΛΑ",724,"Α_ΥΛΗ","2003",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,5.3700,1,0,0,,,,,,,,,,,0,0
6836,"200512","ΚΕΡΑΣΙΑ",65,"Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.5000,1,0,0,,,,,,,,,,,0,0
6837,"200402","ΛΕΜΟΝΙ",959,"Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.7000,1,0,0,,,,,,,,,,,0,0
6838,"200403","ΠΟΡΤΟΚΑΛΙ",67,"Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.0000,1,0,0,,,,,,,,,,,0,0
6839,"200404","ΣΤΑΦΙΔΑ ΞΑΝΘΙΑ",794,"Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.8350,1,0,0,,,,,,,,,,,0,0
6840,"32010","ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙΟΥ ΕΜΠΟΡΕΥΜΑ",67,"ΕΜΠ","32",2,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0,0.0000,1,0,0,,,,,,,,,,,0,0
6841,"200503","ΚΑΡΟΤΑ",76,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.0000,1,0,0,,,,,,,,,,,0,0
6842,"200510","ΜΑΝΙΤΑΡΙΑ",83,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.2940,1,0,0,,,,,,,,,,,0,0
6843,"200511","ΜΑΡΟΥΛΙΑ",84,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.2000,1,0,0,,,,,,,,,,,0,0
6844,"200513","ΜΗΛΟ",863,"Α_ΥΛΗ","2004",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.0000,1,0,0,,,,,,,,,,,0,0
6845,"200516","ΝΤΟΜΑΤΕΣ",900,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.2000,1,0,0,,,,,,,,,,,0,0
6846,"200520","ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ",93,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.5000,1,0,0,,,,,,,,,,,0,0
6847,"200527","ΣΠΑΝΑΚΙ",100,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.3500,1,0,0,,,,,,,,,,,0,0
6848,"200531","ΕΛΙΕΣ ΜΑΥΡΕΣ ΦΕΤΑ",104,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.4000,1,0,0,,,,,,,,,,,0,0
6849,"200532","ΕΛΙΕΣ ΠΡΑΣΙΝΕΣ ΦΕΤΕΣ",971,"Α_ΥΛΗ","2005",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.6000,1,0,0,,,,,,,,,,,0,0
6850,"200601","ΚΟΥΒΕΡΤΟΥΡΑ ΥΓΕΙΑΣ",114,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.3200,1,0,0,,,,,,,,,,,0,0
6851,"200602","ΣΟΚΟΛΑΤΑ ΓΑΛΑΚΤΟΣ",106,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.5370,1,0,0,,,,,,,,,,,0,0
6852,"200603","ΣΟΚΟΛΑΤΑ ΛΕΥΚΗ",107,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6480,1,0,0,,,,,,,,,,,0,0
6853,"200605","ΚΑΚΑΟ 20-22%",879,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.5000,1,0,0,,,,,,,,,,,0,0
6854,"200609","ΑΠΟΜΙΜΗΣΗ ΣΟΚΟΛΑΤΑΣ",113,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.0000,1,0,0,,,,,,,,,,,0,0
6855,"200610","ΣΟΚΟΛΑΤΑ ΤΡΟΥΦΑ",114,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,5.0350,1,0,0,,,,,,,,,,,0,0
6856,"200611","ΣΟΚΟΛΑΤΑ ΔΑΚΡΥ",115,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.7200,1,0,0,,,,,,,,,,,0,0
6857,"200612","CACAO EXTRA",880,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,5.6020,1,0,0,,,,,,,,,,,0,0
6858,"200613","CHOCOSMART CACAO",106,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.6000,1,0,0,,,,,,,,,,,0,0
6859,"200614","CHOCOSMART BIANCO",107,"Α_ΥΛΗ","2006",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,5.7500,1,0,0,,,,,,,,,,,0,0
6860,"200702","ΒΡΩΜΗΣ ΝΙΦΑΔΕΣ",117,"Α_ΥΛΗ","2007",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.9500,1,0,0,,,,,,,,,,,0,0
6861,"200703","ΛΙΝΑΡΙ",1021,"Α_ΥΛΗ","2007",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.2240,1,0,0,,,,,,,,,,,0,0
6862,"200801","BAKING POWDER",118,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.0900,1,0,0,,,,,,,,,,,0,0
6863,"200803","ΑΛΑΤΙ",120,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.1700,1,0,0,,,,,,,,,,,0,0
6864,"200804","ΑΛΓΙΝΙΚΑ ΑΛΑΤΑ",121,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6865,"200805","ΑΜΜΩΝΙΑ",122,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,8.6670,1,0,0,,,,,,,,,,,0,0
6866,"200813","ΒΥΝΗ ΔΙΑΣΤΑΤΙΚΗ",125,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.0000,1,0,0,,,,,,,,,,,0,0
6867,"200814","ΒΥΝΗ ΜΗ ΔΙΑΣΤΑΤΙΚΗ ΑΡΩΜΑ",126,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.2000,1,0,0,,,,,,,,,,,0,0
6868,"200815","ΒΥΝΗ ΜΗ ΔΙΑΣΤΑΤΙΚΗ  (DURA)",127,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,8.5000,1,0,0,,,,,,,,,,,0,0
6869,"200816","ΒΥΝΗ ΜΗ ΔΙΑΣΤΑΤΙΚΗ ΜΑΥΡΗ",128,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.0000,1,0,0,,,,,,,,,,,0,0
6870,"200818","ΓΛΟΥΤΕΝΗ ΞΗΡΗ",860,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.0000,1,0,0,,,,,,,,,,,0,0
6871,"200827","ΜΑΓΙΑ",139,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.4600,1,0,0,,,,,,,,,,,0,0
6872,"200860","ΜΙΓΜΑ ΦΛΩΡΕΝΤΙΝΗΣ(CRUNCHY BEE)",140,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.8970,1,0,0,,,,,,,,,,,0,0
6873,"200830","ΜΟΝΟΓΛΥΚΕΡΙΔΙΑ",142,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,4.2000,1,0,0,,,,,,,,,,,0,0
6874,"200833","ΣΟΔΑ",145,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.9000,1,0,0,,,,,,,,,,,0,0
6875,"200834","BITAMINH B",1056,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6876,"200835","BITAMINH A",1043,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6877,"200836","ΒΕΛΤΙΩΤΙΚΟ MAGIMIX",124,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.1000,1,0,0,,,,,,,,,,,0,0
6878,"200837","MALZBACK",1054,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.9050,1,0,0,,,,,,,,,,,0,0
6879,"200838","PANIMALTINI",1055,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.7500,1,0,0,,,,,,,,,,,0,0
6880,"200832","ΒΕΛΤΙΩΤΙΚΟ MAGIC ICE",124,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.6500,1,0,0,,,,,,,,,,,0,0
6881,"200840","ΒΕΛΤΙΩΤΙΚΟ ΣΟΥΠΕΡ ΣΟΦΤ",124,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.0200,1,0,0,,,,,,,,,,,0,0
6882,"200841","Β",23,"Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0,2.2000,1,0,0,,,,,,,,,,,0,0
6883,"200901","ΚΡΕΜΟΡΙΟ",146,"Α_ΥΛΗ","2009",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0000,1,0,0,,,,,,,,,,,0,0
6884,"200903","ΟΞΥ ΚΙΤΡΙΚΟ",148,"Α_ΥΛΗ","2009",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,3.2000,1,0,0,,,,,,,,,,,0,0
6885,"200909","ΞΥΔΙ",946,"Α_ΥΛΗ","2009",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.5200,1,0,0,,,,,,,,,,,0,0
6886,"201002","ΣΥΝΤΗΡΗΤΙΚΟ ΠΡΟΠΙΟΝΙΚΟ ΑΣΒΕΣΤΙΟ",154,"Α_ΥΛΗ","2010",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.5500,1,0,0,,,,,,,,,,,0,0
6887,"201101","ΧΡΩΜΑ1 ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ 2",1006,"Α_ΥΛΗ","2011",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,36.8000,1,0,0,,,,,,,,,,,0,0
6888,"201201","ΑΡΩΜΑ ΠΟΡΤΟΚΑΛΙΟΥ",1078,"Α_ΥΛΗ","2012",2,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,9.1300,1,0,0,,,,,,,,,,,0,0
6889,"201202","ΜΑΣΤΙΧΑ",158,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,90.0000,1,0,0,,,,,,,,,,,0,0
6890,"201203","ΚΑΝΕΛΛΑ",159,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.6820,1,0,0,,,,,,,,,,,0,0
6891,"201204","ΒΑΝΙΛΙΑ",160,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,36.0000,1,0,0,,,,,,,,,,,0,0
6892,"201205","ΓΑΡΥΦΑΛΟ",161,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,24.0000,1,0,0,,,,,,,,,,,0,0
6893,"201208","ΜΑΧΛΕΠΙ",956,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,17.2800,1,0,0,,,,,,,,,,,0,0
6894,"201209","ΚΑΚΟΥΛΕ",1045,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,19.8000,1,0,0,,,,,,,,,,,0,0
6895,"201210","ΑΡΩΜΑ ΒΟΥΤΥΡΟΥ",1023,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,27.5500,1,0,0,,,,,,,,,,,0,0
6896,"201211","ΠΙΠΕΡΙ",754,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,8.0000,1,0,0,,,,,,,,,,,0,0
6897,"201212","ΚΑΡΥ",991,"Α_ΥΛΗ","2012",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.4100,1,0,0,,,,,,,,,,,0,0
6898,"201323","ΓΑΛΟΠΟΥΛΑ ΦΙΛΕΤΟ",853,"Α_ΥΛΗ","2013",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,5.9670,1,0,0,,,,,,,,,,,0,0
6899,"201501","ΑΥΓΑ",197,"Α_ΥΛΗ","2015",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.1200,1,0,0,,,,,,,,,,,0,0
6900,"201601","ΣΗΣΑΜΙ",812,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.5500,1,0,0,,,,,,,,,,,0,0
6901,"201602","ΑΜΥΓΔΑΛΟ ΛΕΥΚΟ",202,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,,1,0,0,,,,,,,,,,,0,0
6902,"201603","ΦΟΥΝΤΟΥΚΙΑ-ΦΟΥΝΤ/ΠΑΣΤΑ",817,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,6.6150,1,0,0,,,,,,,,,,,0,0
6903,"201607","ΑΜΥΓΔΑΛΟΨΥΧΑ",205,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,6.3360,1,0,0,,,,,,,,,,,0,0
6904,"201606","ΑΜΥΓΔΑΛΟ ΦΙΛΕ",815,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,8.2800,1,0,0,,,,,,,,,,,0,0
6905,"201608","ΚΑΡΥΔΙΑ",207,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,7.0200,1,0,0,,,,,,,,,,,0,0
6906,"201610","ΗΛΙΟΣΠΟΡΟΣ",208,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.0800,1,0,0,,,,,,,,,,,0,0
6907,"201612","ΣΤΑΦΙΔΑ ΣΟΥΛΤΑΝΙΝΑ",209,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.8350,1,0,0,,,,,,,,,,,0,0
6909,"201616","ΑΜΥΓΔΑΛΟ ΚΡΟΚΑΝ",205,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,6.6000,1,0,0,,,,,,,,,,,0,0
6910,"201619","ΣΤΑΦΙΔΑ ΜΑΥΡΗ",209,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.5650,1,0,0,,,,,,,,,,,0,0
6911,"201623","ΦΥΣΤΙΚΙ ΑΙΓΙΝΗΣ",204,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,16.1100,1,0,0,,,,,,,,,,,0,0
6912,"201624","ΚΡΟΚΑΝ ΦΟΥΝΤΟΥΚΙΟΥ",817,"Α_ΥΛΗ","2016",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,11.5000,1,0,0,,,,,,,,,,,0,0
6913,"201701","ΜΑΡΓΑΡΙΝΗ ΜΑΛΑΚΙΑ",770,"Α_ΥΛΗ","2017",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,1.3500,1,0,0,,,,,,,,,,,0,0
6914,"201702","ΜΑΡΓΑΡΙΝΗ ΣΚΛΗΡΗΣ ΣΦΟΛΙΑΤΑΣ",212,"Α_ΥΛΗ","2017",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.2800,1,0,0,,,,,,,,,,,0,0
6915,"201704","ΦΥΤΙΚΑ ΛΙΠΗ",216,"Α_ΥΛΗ","2017",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,2.0520,1,0,0,,,,,,,,,,,0,0
