IDSalesDate,SalesDate,SalesPrint,IDMarketer
375,"03/31/06 00:00:00",0,890
376,"03/31/06 00:00:00",0,880
377,"04/01/06 00:00:00",0,879
378,"04/01/06 00:00:00",0,890
379,"04/01/06 00:00:00",0,880
380,"04/03/06 00:00:00",0,880
381,"04/03/06 00:00:00",0,890
382,"04/03/06 00:00:00",0,879
383,"04/04/06 00:00:00",0,890
384,"04/04/06 00:00:00",0,879
385,"04/04/06 00:00:00",0,880
386,"04/05/06 00:00:00",0,879
387,"04/05/06 00:00:00",0,890
388,"04/05/06 00:00:00",0,880
389,"04/06/06 00:00:00",0,879
390,"04/06/06 00:00:00",0,890
391,"04/06/06 00:00:00",0,880
392,"04/07/06 00:00:00",0,880
393,"04/07/06 00:00:00",0,879
394,"04/07/06 00:00:00",0,890
395,"04/08/06 00:00:00",0,890
396,"04/08/06 00:00:00",0,880
397,"04/08/06 00:00:00",0,879
398,"04/10/06 00:00:00",0,879
399,"04/10/06 00:00:00",0,890
400,"04/10/06 00:00:00",0,880
401,"04/11/06 00:00:00",0,890
402,"04/11/06 00:00:00",0,879
403,"04/11/06 00:00:00",0,880
404,"04/12/06 00:00:00",0,890
405,"04/12/06 00:00:00",0,879
406,"04/12/06 00:00:00",0,880
407,"04/13/06 00:00:00",0,879
408,"04/13/06 00:00:00",0,890
409,"04/13/06 00:00:00",0,880
410,"04/14/06 00:00:00",0,890
411,"04/14/06 00:00:00",0,879
412,"04/14/06 00:00:00",0,880
413,"04/15/06 00:00:00",0,879
414,"04/15/06 00:00:00",0,880
415,"04/15/06 00:00:00",0,890
416,"04/17/06 00:00:00",0,879
417,"04/17/06 00:00:00",0,890
418,"04/17/06 00:00:00",0,880
419,"04/18/06 00:00:00",0,890
420,"04/18/06 00:00:00",0,879
421,"04/18/06 00:00:00",0,880
422,"04/19/06 00:00:00",0,879
423,"04/19/06 00:00:00",0,890
424,"04/19/06 00:00:00",0,880
425,"04/20/06 00:00:00",0,879
426,"04/20/06 00:00:00",0,890
427,"04/20/06 00:00:00",0,880
428,"04/21/06 00:00:00",0,880
429,"04/21/06 00:00:00",0,890
430,"04/21/06 00:00:00",0,879
431,"04/22/06 00:00:00",0,890
432,"04/22/06 00:00:00",0,880
433,"04/22/06 00:00:00",0,879
434,"04/25/06 00:00:00",0,879
435,"04/25/06 00:00:00",0,890
436,"04/25/06 00:00:00",0,880
437,"04/26/06 00:00:00",0,879
438,"04/26/06 00:00:00",0,880
439,"04/26/06 00:00:00",0,890
440,"04/27/06 00:00:00",0,879
441,"04/27/06 00:00:00",0,890
442,"04/27/06 00:00:00",0,880
443,"04/28/06 00:00:00",0,880
444,"04/28/06 00:00:00",0,890
445,"04/28/06 00:00:00",0,879
446,"04/29/06 00:00:00",0,890
447,"04/29/06 00:00:00",0,880
448,"04/29/06 00:00:00",0,879
449,"05/02/06 00:00:00",0,890
450,"05/02/06 00:00:00",0,880
451,"05/02/06 00:00:00",0,879
452,"05/03/06 00:00:00",0,879
453,"05/03/06 00:00:00",0,890
454,"05/04/06 00:00:00",0,879
455,"05/04/06 00:00:00",0,880
456,"05/03/06 00:00:00",0,880
457,"05/04/06 00:00:00",0,890
458,"05/05/06 00:00:00",0,879
459,"05/05/06 00:00:00",0,880
460,"05/05/06 00:00:00",0,890
461,"05/06/06 00:00:00",0,879
462,"05/06/06 00:00:00",0,880
463,"05/06/06 00:00:00",0,890
464,"05/08/06 00:00:00",0,879
465,"05/08/06 00:00:00",0,890
466,"05/08/06 00:00:00",0,880
467,"05/09/06 00:00:00",0,879
468,"05/09/06 00:00:00",0,880
469,"05/09/06 00:00:00",0,890
470,"05/10/06 00:00:00",0,879
471,"05/10/06 00:00:00",0,880
472,"05/10/06 00:00:00",0,890
473,"05/11/06 00:00:00",0,879
474,"05/11/06 00:00:00",0,880
475,"05/11/06 00:00:00",0,890
476,"05/12/06 00:00:00",0,879
477,"05/12/06 00:00:00",0,880
478,"05/12/06 00:00:00",0,890
479,"05/13/06 00:00:00",0,879
480,"05/13/06 00:00:00",0,880
481,"05/13/06 00:00:00",0,890
482,"05/15/06 00:00:00",0,879
483,"05/15/06 00:00:00",0,880
484,"05/15/06 00:00:00",0,890
485,"05/16/06 00:00:00",0,879
486,"05/16/06 00:00:00",0,880
487,"05/16/06 00:00:00",0,890
488,"05/17/06 00:00:00",0,879
489,"05/17/06 00:00:00",0,880
