IDRaw,Choice,Raw,IDCompositionDescription,IDCategory,Carbohydrt,Sugars,OrganicsAcid,Polyols,Alcohol,Fats,Protein,Ash,Fiber_,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,FA_Sat,FA_Mono,FA_Poly,Cholestrl,Emulsifiers,Stabilizers,CocosButter,MilkFats,Presevatives,Flavors,Colors
26,0,"ΖΑΧΑΡΗ ΑΧΝΗ",4,"Α_ΥΛΗ",9.9980000000000002e-01,9.9980000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,9.99999978e-03,0,0,2,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
27,0,"ΖΑΧΑΡΗ ΑΧΝΗ ΑΔΙΑΒΡΟΧΗ",4,"Α_ΥΛΗ",7.6300000000000001e-01,7.6300000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4999999999999997e-02,2.0000000000000000e-03,8.9000000000000010e-02,0.0000000000000000e+00,,,,,,,,,,4.19999994e-02,2.50000004e-02,8.00000038e-03,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
29,0,"ΖΑΧΑΡΗ ΧΟΝΔΡΗ",4,"Α_ΥΛΗ",9.9980000000000002e-01,9.9980000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,9.99999978e-03,0,0,2,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
30,0,"ΖΑΧΑΡΗ ΨΙΛΗ",4,"Α_ΥΛΗ",9.9980000000000002e-01,9.9980000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,9.99999978e-03,0,0,2,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
31,0,"ΑΜΥΛΟΣΙΡΟΠΙΟ(γλυκοζη)",5,"Α_ΥΛΗ",8.0000000000000004e-01,8.0000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,2.99999993e-02,0,0,0,2,1.99999996e-02,2.89999992e-02,9.39999968e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
32,0,"ΜΕΛΙ",8,"Α_ΥΛΗ",8.2400000000000007e-01,8.2200000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000001e-03,2.0000000000000000e-03,2.0000000000000000e-03,6,4.19999987e-01,2,4,52,4,2.19999999e-01,3.59999985e-02,7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
33,0,"ΣΟΡΒΙΤΟΛΗ",9,"Α_ΥΛΗ",7.0000000000000007e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000007e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,0.00000000e+00,0.00000000e+00,0.00000000e+00,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
34,0,"ΣΤΑΦΙΔΙΝΗ",10,"Α_ΥΛΗ",6.5000000000000002e-01,6.5000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000001e-03,0.0000000000000000e+00,53,1.78999996e+00,35,115,746,12,3.19999993e-01,3.63000005e-01,3.07999998e-01,1.50000001e-03,1.99999995e-04,1.39999995e-03,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
35,0,"ΦΟΝΤΑΝ(γλασσο)",4,"Α_ΥΛΗ",8.4999999999999998e-01,8.4999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,9.99999978e-03,0,0,2,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
36,0,"ΦΡΟΥΚΤΟΖΗ",11,"Α_ΥΛΗ",9.2000000000000004e-01,9.2000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.00000000e+00,0,0,0,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
37,0,"ΔΕΞΤΡΟΖΗ",12,"Α_ΥΛΗ",9.2000000000000004e-01,9.2000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,0.00000000e+00,0.00000000e+00,0.00000000e+00,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
38,0,"ΑΣΠΑΡΤΑΜΗ",13,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0.00000000e+00,0,0,0,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
39,0,"ΣΙΡΟΠΙ ΜΑΛΤΙΤΟΛΗΣ",14,"Α_ΥΛΗ",7.5000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.5000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,0.00000000e+00,0.00000000e+00,0.00000000e+00,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
