IDStoreControl,IDMarketer,Date,NoApod,Incam
255,879,"11/30/05 00:00:00",438,891.6000
256,890,"11/30/05 00:00:00",224,429.1500
257,880,"11/30/05 00:00:00",526,1055.8500
258,890,"12/01/05 00:00:00",214,393.3000
259,879,"12/01/05 00:00:00",429,906.2000
260,880,"12/01/05 00:00:00",535,974.7000
261,879,"12/02/05 00:00:00",528,1009.0000
262,890,"12/02/05 00:00:00",224,441.7000
263,880,"12/02/05 00:00:00",539,1056.6300
264,880,"12/03/05 00:00:00",795,1908.8000
265,879,"12/03/05 00:00:00",526,1387.0000
266,890,"12/03/05 00:00:00",266,642.0000
267,890,"12/03/05 00:00:00",75,0.0000
268,890,"12/05/05 00:00:00",224,405.1500
269,879,"12/05/05 00:00:00",490,994.0000
270,880,"12/05/05 00:00:00",502,959.7500
271,880,"12/06/05 00:00:00",481,988.7500
272,879,"12/06/05 00:00:00",514,1018.0000
273,890,"12/06/05 00:00:00",222,410.0000
274,890,"12/07/05 00:00:00",209,350.0000
275,879,"12/07/05 00:00:00",469,870.0000
276,880,"12/07/05 00:00:00",481,972.6500
277,890,"12/08/05 00:00:00",228,401.1500
278,879,"12/08/05 00:00:00",426,900.1000
279,880,"12/08/05 00:00:00",462,902.7500
280,879,"12/09/05 00:00:00",387,904.0000
281,890,"12/09/05 00:00:00",248,474.8000
282,890,"12/10/05 00:00:00",268,694.0000
283,879,"12/10/05 00:00:00",522,1273.0000
284,880,"12/10/05 00:00:00",736,1820.0000
285,879,"12/12/05 00:00:00",390,892.0000
286,890,"12/12/05 00:00:00",224,440.0000
287,880,"12/09/05 00:00:00",522,1086.8000
288,880,"12/12/05 00:00:00",508,955.4000
289,880,"12/13/05 00:00:00",475,922.2500
290,879,"12/13/05 00:00:00",372,838.0000
291,890,"12/13/05 00:00:00",234,437.4500
292,890,"12/14/05 00:00:00",249,497.8500
293,879,"12/14/05 00:00:00",411,885.0000
294,880,"12/14/05 00:00:00",476,1034.4500
295,890,"12/15/05 00:00:00",236,420.4500
296,879,"12/15/05 00:00:00",349,772.6000
297,880,"12/15/05 00:00:00",483,964.1000
298,879,"12/16/05 00:00:00",408,913.0000
299,890,"12/16/05 00:00:00",218,395.1500
300,880,"12/16/05 00:00:00",538,1081.0000
301,880,"12/17/05 00:00:00",764,1823.1500
