IDA_FASH,A_FASH_IDStorage,A_FASH,A_FASHBasic,DateStart,DateFinish,IDCategory,IDSortSubCategory,IDMUnit,A_FASH_PW,IDOperation,A_FASHYield,A_FASHScrap,A_FASHProcedure,A_FASHPrint,A_FASHDelete,Text1,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
6865,"200805","ΑΜΜΩΝΙΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6866,"200813","ΒΥΝΗ ΔΙΑΣΤΑΤΙΚΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6867,"200814","ΒΥΝΗ ΜΗ ΔΙΑΣΤΑΤΙΚΗ ΑΡΩΜΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6868,"200815","ΒΥΝΗ ΜΗ ΔΙΑΣΤΑΤΙΚΗ  (DURA)",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6869,"200816","ΒΥΝΗ ΜΗ ΔΙΑΣΤΑΤΙΚΗ ΜΑΥΡΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6870,"200818","ΓΛΟΥΤΕΝΗ ΞΗΡΗ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6871,"200827","ΜΑΓΙΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6872,"200860","ΜΙΓΜΑ ΦΛΩΡΕΝΤΙΝΗΣ(CRUNCHY BEE)",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6873,"200830","ΜΟΝΟΓΛΥΚΕΡΙΔΙΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
6874,"200833","ΣΟΔΑ",0,"01/01/00 00:00:00","01/01/70 00:00:00","Α_ΥΛΗ","2008",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0.0000000000000000e+00,,0,0,,,,,,,,,,0,0
