IDC_FASH,IDSort,IDOperation,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7067,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7067,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7068,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7068,6978,"95",6.9999999999999996e-01,0.0000000000000000e+00,0,0
7069,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7069,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7070,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7070,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7071,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7071,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7072,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7072,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7073,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7073,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7075,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7075,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7076,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7076,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7077,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7077,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7078,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7078,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7079,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7079,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7080,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7080,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7081,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7081,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7082,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7082,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7084,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7084,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7085,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7085,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7086,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7086,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7087,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7087,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7088,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7088,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7089,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7089,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7090,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7090,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7091,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7091,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
